[13-Jul-2023 13:12:28 UTC] PHP Deprecated:  La funzione get_page_by_title è <strong>deprecata</strong> dalla versione 6.2.0! Utilizza al suo posto WP_Query. in /Users/nathalie/Sites/localhost/interazioniumane/wp-includes/functions.php on line 5413
[13-Jul-2023 13:13:07 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:13:09 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:13:40 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:13:42 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:14:29 UTC] PHP Deprecated:  La funzione get_page_by_title è <strong>deprecata</strong> dalla versione 6.2.0! Utilizza al suo posto WP_Query. in /Users/nathalie/Sites/localhost/interazioniumane/wp-includes/functions.php on line 5413
[13-Jul-2023 13:14:46 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:14:48 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:15:41 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:15:43 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:16:08 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:16:10 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:16:30 UTC] PHP Deprecated:  La funzione get_page_by_title è <strong>deprecata</strong> dalla versione 6.2.0! Utilizza al suo posto WP_Query. in /Users/nathalie/Sites/localhost/interazioniumane/wp-includes/functions.php on line 5413
[13-Jul-2023 13:17:10 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:17:11 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:18:31 UTC] PHP Deprecated:  La funzione get_page_by_title è <strong>deprecata</strong> dalla versione 6.2.0! Utilizza al suo posto WP_Query. in /Users/nathalie/Sites/localhost/interazioniumane/wp-includes/functions.php on line 5413
[13-Jul-2023 13:18:35 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:18:37 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
[13-Jul-2023 13:19:32 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/nathalie/Sites/localhost/interazioniumane/wp-content/plugins/add-fields-to-checkout-page-woocommerce-premium/public/class-thwcfe-public-checkout.php on line 254
